Unit name,Time From,Time To,Heat Demand,Produced heat,Electricity Price,Electricity usage,Expenses,Primary energy,CO2
GB,07/08/2023 00:00:00,07/08/2023 01:00:00,1.79,1.79,752.03,0,895,0.39380000000000004,76.97
GB,07/08/2023 01:00:00,07/08/2023 02:00:00,1.85,1.85,691.05,0,925,0.40700000000000003,79.55
GB,07/08/2023 02:00:00,07/08/2023 03:00:00,1.76,1.7599999999999998,674.78,0,880,0.3872,75.67999999999999
GM,07/08/2023 02:00:00,07/08/2023 03:00:00,2.220446049250313E-16,2.220446049250313E-16,674.78,-1.665334536937735E-16,1.3187562153404996E-13,1.1719020815487764E-16,3.9474596431116676E-14
GB,07/08/2023 03:00:00,07/08/2023 04:00:00,1.67,1.67,652.95,0,835,0.3674,71.80999999999999
GB,07/08/2023 04:00:00,07/08/2023 05:00:00,1.73,1.73,666.3,0,865,0.3806,74.39
GB,07/08/2023 05:00:00,07/08/2023 06:00:00,1.79,1.79,654.6,0,895,0.39380000000000004,76.97
GB,07/08/2023 06:00:00,07/08/2023 07:00:00,1.82,1.8199999999999998,637.05,0,910,0.40040000000000003,78.25999999999999
GM,07/08/2023 06:00:00,07/08/2023 07:00:00,2.220446049250313E-16,2.220446049250313E-16,637.05,-1.665334536937735E-16,1.3815892874191604E-13,1.1719020815487764E-16,3.9474596431116676E-14
GB,07/08/2023 07:00:00,07/08/2023 08:00:00,1.81,1.81,639.45,0,905,0.3982,77.83
GB,07/08/2023 08:00:00,07/08/2023 09:00:00,1.84,1.8399999999999999,628.28,0,920,0.40480000000000005,79.12
GM,07/08/2023 08:00:00,07/08/2023 09:00:00,2.220446049250313E-16,2.220446049250313E-16,628.28,-1.665334536937735E-16,1.3961942713081043E-13,1.1719020815487764E-16,3.9474596431116676E-14
GB,07/08/2023 09:00:00,07/08/2023 10:00:00,1.88,1.88,570.3,0,940,0.4136,80.84
GB,07/08/2023 10:00:00,07/08/2023 11:00:00,2,2,456.75,0,1000,0.44000000000000006,86
EK,07/08/2023 11:00:00,07/08/2023 12:00:00,1.86,1.86,347.4,1.86,739.164,0,0
EK,07/08/2023 12:00:00,07/08/2023 13:00:00,1.78,1.78,264.15,1.78,559.1869999999999,0,0
EK,07/08/2023 13:00:00,07/08/2023 14:00:00,1.6,1.6,125.33,1.6,280.528,0,0
EK,07/08/2023 14:00:00,07/08/2023 15:00:00,1.57,1.57,125.48,1.57,275.5036,0,0
EK,07/08/2023 15:00:00,07/08/2023 16:00:00,1.55,1.55,300,1.55,542.5,0,0
GB,07/08/2023 16:00:00,07/08/2023 17:00:00,1.57,1.57,456.75,0,785,0.34540000000000004,67.51
GB,07/08/2023 17:00:00,07/08/2023 18:00:00,1.53,1.53,625.5,0,765,0.3366,65.78999999999999
GM,07/08/2023 18:00:00,07/08/2023 19:00:00,1.52,1.52,804.75,-1.1400000000000001,754.5849999999999,0.8022222222222222,270.22222222222223
GM,07/08/2023 19:00:00,07/08/2023 20:00:00,1.5,1.5,907.5,-1.125,629.0625000000001,0.7916666666666665,266.66666666666663
GM,07/08/2023 20:00:00,07/08/2023 21:00:00,1.5,1.5,965.7,-1.125,563.5874999999999,0.7916666666666665,266.66666666666663
GM,07/08/2023 21:00:00,07/08/2023 22:00:00,1.48,1.48,996.45,-1.11,521.9404999999999,0.7811111111111111,263.1111111111111
GM,07/08/2023 22:00:00,07/08/2023 23:00:00,1.51,1.51,972.9,-1.1325,559.19075,0.7969444444444445,268.44444444444446
GM,07/08/2023 23:00:00,07/09/2023 00:00:00,1.55,1.55,869.4,-1.1625,694.3224999999999,0.8180555555555555,275.55555555555554
GM,07/09/2023 00:00:00,07/09/2023 01:00:00,1.54,1.54,820.8,-1.155,745.9760000000001,0.8127777777777777,273.77777777777777
GB,07/09/2023 01:00:00,07/09/2023 02:00:00,1.47,1.47,763.05,0,735,0.3234,63.209999999999994
GB,07/09/2023 02:00:00,07/09/2023 03:00:00,1.41,1.41,763.65,0,705,0.3102,60.629999999999995
GB,07/09/2023 03:00:00,07/09/2023 04:00:00,1.43,1.43,715.8,0,715,0.3146,61.489999999999995
GB,07/09/2023 04:00:00,07/09/2023 05:00:00,1.43,1.43,718.43,0,715,0.3146,61.489999999999995
GB,07/09/2023 05:00:00,07/09/2023 06:00:00,1.45,1.45,726.9,0,725,0.319,62.349999999999994
GB,07/09/2023 06:00:00,07/09/2023 07:00:00,1.47,1.47,710.1,0,735,0.3234,63.209999999999994
GB,07/09/2023 07:00:00,07/09/2023 08:00:00,1.5,1.5,684,0,750,0.33,64.5
GB,07/09/2023 08:00:00,07/09/2023 09:00:00,1.62,1.62,646.8,0,810,0.35640000000000005,69.66
GB,07/09/2023 09:00:00,07/09/2023 10:00:00,1.7,1.6999999999999997,578.33,0,850,0.374,73.1
EK,07/09/2023 09:00:00,07/09/2023 10:00:00,2.220446049250313E-16,2.220446049250313E-16,578.33,2.220446049250313E-16,1.3951728661254493E-13,0,0
GB,07/09/2023 10:00:00,07/09/2023 11:00:00,1.74,1.7399999999999998,450.9,0,870,0.38280000000000003,74.82
EK,07/09/2023 10:00:00,07/09/2023 11:00:00,2.220446049250313E-16,2.220446049250313E-16,450.9,2.220446049250313E-16,1.1122214260694818E-13,0,0
EK,07/09/2023 11:00:00,07/09/2023 12:00:00,1.68,1.68,375.9,1.68,715.512,0,0
EK,07/09/2023 12:00:00,07/09/2023 13:00:00,1.58,1.58,342.68,1.58,620.4344,0,0
EK,07/09/2023 13:00:00,07/09/2023 14:00:00,1.45,1.45,277.43,1.45,474.7735,0,0
EK,07/09/2023 14:00:00,07/09/2023 15:00:00,1.43,1.43,336.38,1.43,552.5234,0,0
EK,07/09/2023 15:00:00,07/09/2023 16:00:00,1.42,1.42,413.63,1.42,658.3546,0,0
GB,07/09/2023 16:00:00,07/09/2023 17:00:00,1.47,1.47,547.35,0,735,0.3234,63.209999999999994
GB,07/09/2023 17:00:00,07/09/2023 18:00:00,1.46,1.46,618,0,730,0.3212,62.779999999999994
GB,07/09/2023 18:00:00,07/09/2023 19:00:00,1.5,1.5,783.08,0,750,0.33,64.5
GM,07/09/2023 19:00:00,07/09/2023 20:00:00,1.5,1.5,916.58,-1.125,618.8475000000001,0.7916666666666665,266.66666666666663
GM,07/09/2023 20:00:00,07/09/2023 21:00:00,1.44,1.44,990,-1.08,514.8000000000002,0.7599999999999999,255.99999999999997
GM,07/09/2023 21:00:00,07/09/2023 22:00:00,1.45,1.45,1005.75,-1.0875,501.24687500000005,0.7652777777777776,257.77777777777777
GM,07/09/2023 22:00:00,07/09/2023 23:00:00,1.44,1.44,990.9,-1.08,513.828,0.7599999999999999,255.99999999999997
GM,07/09/2023 23:00:00,07/10/2023 00:00:00,1.47,1.47,897,-1.1025,628.0575,0.7758333333333333,261.3333333333333
GM,07/10/2023 00:00:00,07/10/2023 01:00:00,1.4,1.4,843.68,-1.05,654.1360000000001,0.7388888888888887,248.88888888888886
